Player Name,teams_played,Season,GP,MP,Avg2ptShotDistance,Avg3ptShotDistance,OffPoss,DefPoss,Offensive Fouls Drawn,pullup_gp,pullup_w,pullup_l,pullup_min,pullup_pull_up_fgm,pullup_pull_up_fga,pullup_pull_up_fg_pct,pullup_pull_up_pts,pullup_pull_up_fg3m,pullup_pull_up_fg3a,pullup_pull_up_fg3_pct,pullup_pull_up_efg_pct
AJ Green,MIL,2025-26,78.0,29.102564102564106,10.3328125,25.710469314079425,4609.0,4627.0,13.0,78.0,31.0,47.0,29.1,0.9,2.2,0.425,2.7,0.8,1.8,0.424,0.595
Aaron Brooks,"DEN,HOU",2013-14,72.0,21.625,7.225225225225225,25.94838709677419,3169.0,3170.0,13.0,72.0,42.0,30.0,21.6,0.9,2.6,0.34,2.2,0.4,1.3,0.301,0.415
Aaron Brooks,CHI,2014-15,82.0,22.98780487804878,6.7595238095238095,25.885303514376997,3630.0,3602.0,7.0,82.0,50.0,32.0,23.0,1.4,3.6,0.391,3.5,0.6,1.8,0.358,0.481
Aaron Brooks,CHI,2015-16,69.0,16.057971014492754,7.273591549295774,26.452972972972972,2181.0,2184.0,7.0,69.0,36.0,33.0,16.1,1.0,2.8,0.338,2.3,0.4,1.4,0.303,0.415
Aaron Gordon,ORL,2014-15,47.0,16.95744680851064,4.8875,24.989583333333332,1527.0,1574.0,3.0,47.0,14.0,33.0,17.0,0.1,0.4,0.3,0.3,0.0,0.0,0.5,0.325
Aaron Gordon,ORL,2015-16,78.0,23.884615384615383,5.692677345537757,26.10211267605634,3726.0,3760.0,3.0,78.0,32.0,46.0,23.9,0.4,1.2,0.355,0.9,0.0,0.1,0.182,0.366
Aaron Gordon,ORL,2016-17,80.0,28.725,7.074080267558529,25.281273408239706,4598.0,4636.0,7.0,80.0,29.0,51.0,28.7,1.0,3.0,0.331,2.2,0.2,0.8,0.231,0.362
Aaron Gordon,ORL,2017-18,58.0,32.91379310344828,7.495793499043978,25.42485380116959,3943.0,3934.0,4.0,58.0,19.0,39.0,32.9,1.3,4.4,0.295,3.0,0.4,1.8,0.219,0.341
Aaron Gordon,DEN,2025-26,36.0,27.916666666666668,6.096680497925311,25.350955414012734,2056.0,2067.0,1.0,36.0,27.0,9.0,27.9,1.0,2.8,0.364,2.4,0.4,1.3,0.311,0.434
Aaron Nesmith,IND,2025-26,45.0,29.666666666666668,7.479148936170213,25.528880866425993,2808.0,2818.0,21.0,45.0,10.0,35.0,29.7,1.0,2.8,0.352,2.2,0.3,1.1,0.255,0.404
Aaron Wiggins,OKC,2025-26,65.0,21.753846153846155,4.717293233082707,25.26407407407407,2925.0,2943.0,1.0,65.0,50.0,15.0,21.8,0.6,1.6,0.359,1.4,0.3,1.0,0.323,0.456
Ace Bailey,UTA,2025-26,72.0,27.61111111111111,9.494331983805669,25.058040201005024,4241.0,4266.0,2.0,72.0,19.0,53.0,27.6,1.8,4.3,0.416,4.2,0.6,1.4,0.413,0.485
Adem Bona,PHI,2025-26,71.0,17.380281690140844,2.0714953271028036,23.53333333333333,2555.0,2592.0,5.0,71.0,41.0,30.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adreian Payne,"ATL,MIN",2014-15,32.0,23.09375,9.930805687203792,24.5,1417.0,1421.0,4.0,32.0,7.0,25.0,23.1,0.3,0.7,0.435,0.6,0.0,0.0,0.0,0.435
Ajay Mitchell,OKC,2025-26,57.0,25.842105263157897,6.333333333333333,25.005113636363635,3082.0,3069.0,22.0,57.0,50.0,7.0,25.8,1.2,2.5,0.472,2.7,0.3,0.9,0.373,0.538
Al Harrington,WAS,2013-14,34.0,15.029411764705882,5.34766355140187,25.421999999999997,986.0,976.0,8.0,34.0,20.0,14.0,15.0,0.1,0.5,0.125,0.1,0.0,0.1,0.0,0.125
Al Horford,ATL,2013-14,29.0,33.03448275862069,9.81442542787286,23.436363636363637,1900.0,1890.0,2.0,29.0,16.0,13.0,33.0,0.2,0.8,0.25,0.4,0.0,0.1,0.0,0.25
Al Horford,ATL,2014-15,76.0,30.5,10.08611410118407,24.12777777777778,4503.0,4505.0,2.0,76.0,56.0,20.0,30.5,0.2,0.5,0.405,0.4,0.0,0.0,0.0,0.405
Al Horford,ATL,2015-16,82.0,32.08536585365854,8.879419191919192,24.555859375,5319.0,5291.0,1.0,82.0,48.0,34.0,32.1,0.1,0.4,0.345,0.2,0.0,0.0,0.0,0.345
Al Horford,BOS,2016-17,68.0,32.25,8.500894454382827,24.884710743801655,4393.0,4370.0,3.0,68.0,46.0,22.0,32.3,0.4,1.2,0.304,0.7,0.0,0.0,0.333,0.31
Al Horford,BOS,2017-18,72.0,31.625,8.107210626185958,25.47920353982301,4512.0,4504.0,3.0,72.0,47.0,25.0,31.6,0.6,1.5,0.37,1.2,0.1,0.1,0.833,0.394
Al Horford,GSW,2025-26,45.0,21.533333333333335,5.86,25.55268292682927,1997.0,1984.0,0.0,45.0,22.0,23.0,21.5,0.1,0.3,0.429,0.3,0.0,0.1,0.25,0.464
Al Jefferson,CHA,2013-14,73.0,34.97260273972603,8.631520940484938,38.17333333333333,4893.0,4885.0,10.0,73.0,38.0,35.0,35.0,0.7,1.7,0.408,1.4,0.0,0.0,1.0,0.416
Al Jefferson,CHA,2014-15,65.0,30.646153846153847,8.125771144278607,25.619999999999997,3845.0,3815.0,6.0,65.0,25.0,40.0,30.6,0.5,1.5,0.34,1.1,0.0,0.0,1.0,0.345
Al Jefferson,CHA,2015-16,47.0,23.340425531914892,8.313465346534654,0.0,2164.0,2171.0,2.0,47.0,33.0,14.0,23.3,0.3,0.9,0.366,0.6,0.0,0.0,0.0,0.366
Al Farouq Aminu,NOP,2013-14,80.0,25.5625,6.94439461883408,24.38125,3896.0,3958.0,8.0,80.0,33.0,47.0,25.6,0.2,0.4,0.343,0.3,0.0,0.0,0.0,0.343
Al Farouq Aminu,DAL,2014-15,74.0,18.45945945945946,4.603004291845494,24.0991935483871,2693.0,2751.0,5.0,74.0,45.0,29.0,18.5,0.1,0.3,0.381,0.2,0.0,0.0,0.0,0.381
Al Farouq Aminu,POR,2015-16,82.0,28.548780487804876,6.698108108108109,24.445558739255013,4716.0,4725.0,15.0,82.0,44.0,38.0,28.5,0.5,1.3,0.375,1.0,0.1,0.3,0.381,0.413
Al Farouq Aminu,POR,2016-17,61.0,29.0655737704918,4.867716535433071,24.604716981132075,3520.0,3538.0,11.0,61.0,33.0,28.0,29.1,0.2,0.6,0.378,0.5,0.0,0.1,0.167,0.392
Al Farouq Aminu,POR,2017-18,69.0,30.028985507246375,5.826337448559671,24.938348082595873,4169.0,4156.0,8.0,69.0,40.0,29.0,30.0,0.2,1.0,0.209,0.5,0.1,0.4,0.36,0.276
Alan Anderson,BKN,2013-14,78.0,22.71794871794872,8.89493670886076,24.821370967741935,3350.0,3372.0,25.0,78.0,43.0,35.0,22.7,0.5,1.5,0.333,1.1,0.1,0.5,0.25,0.376
Alan Anderson,BKN,2014-15,74.0,23.56756756756757,7.587826086956522,25.46904761904762,3385.0,3399.0,19.0,74.0,35.0,39.0,23.6,0.5,1.4,0.34,1.1,0.2,0.6,0.317,0.403
Alan Williams,PHX,2016-17,47.0,15.063829787234043,4.385338345864661,77.1,1476.0,1487.0,1.0,47.0,11.0,36.0,15.1,0.0,0.1,0.167,0.0,0.0,0.0,0.0,0.167
Alec Burks,UTA,2013-14,78.0,28.115384615384617,8.25843023255814,26.887412587412587,4178.0,4190.0,20.0,78.0,24.0,54.0,28.1,1.2,3.3,0.349,2.5,0.1,0.6,0.22,0.37
Alec Burks,UTA,2014-15,27.0,33.2962962962963,9.086637931034485,25.420588235294115,1693.0,1692.0,11.0,27.0,9.0,18.0,33.3,1.6,4.3,0.365,3.4,0.3,0.9,0.333,0.4
Alec Burks,UTA,2015-16,31.0,25.70967741935484,8.729803921568626,24.936708860759495,1540.0,1552.0,6.0,31.0,13.0,18.0,25.7,1.6,4.4,0.363,3.6,0.4,1.0,0.406,0.411
Alec Burks,UTA,2016-17,42.0,15.547619047619047,7.755232558139536,24.61842105263158,1266.0,1274.0,2.0,42.0,26.0,16.0,15.5,0.8,1.9,0.425,1.7,0.1,0.5,0.238,0.456
Alec Burks,UTA,2017-18,64.0,16.546875,7.69264705882353,25.37957746478873,2093.0,2094.0,4.0,64.0,37.0,27.0,16.5,0.9,2.3,0.367,2.1,0.4,1.1,0.353,0.447
