Player Name,teams_played,Season,GP,MP,OffPoss,DefPoss,position,two_drib_3PA_frequency,two_drib_3P_Accuracy,pull_up_3PA,catch_shoot_3PA,shot_contest_0_2_fg3a,shot_contest_0_2_fg3a_frequency,shot_contest_0_2_fg3_pct,shot_contest_2_4_fg3a,shot_contest_2_4_fg3_pct,shot_contest_4_6_fg3a,shot_contest_4_6_fg3a_frequency,shot_contest_4_6_fg3_pct,shot_contest_6_plus_fg3a,shot_contest_6_plus_fg3a_frequency,shot_contest_6_plus_fg3_pct,3P_Accuracy,traditional_fg3a,3fga_frequency,Avg3ptShotDistance,pull_up_3P_frequency,pull_up_3P_accuracy,catch_shoot_3P_frequency,catch_shoot_3P_accuracy,zero_to_one_drib_3PA_frequency,zero_to_one_drib_3PA_accuracy,three_to_six_drib_3FGA_frequency,three_to_six_drib_3FGA_accuracy,seven_plus_drib_3FGA_frequency,seven_plus_drib_3FGA_accuracy,pct_3p_fg_assisted,pct_3fga_wide_open,pct_fga_3FGA,pull_up_2PA,shot_contest_0_2_fg2a,shot_contest_0_2_fg2_pct,shot_contest_2_4_fg2a,shot_contest_2_4_fg2_pct,shot_contest_4_6_fg2a,shot_contest_4_6_fg2_pct,shot_contest_6_plus_fg2a,shot_contest_6_plus_fg2_pct,shot_contest_0_2_fg2a_frequency,shot_contest_4_6_fg2a_frequency,shot_contest_6_plus_fg2a_frequency,by_zone_statistics_mid_range_fga,Avg2ptShotDistance,pct_fga_MR,MidRangeFrequency,MidRangeAccuracy,pts_from_midrange_per_75,drives_drives,drives_drive_fga,drive_FTAr,pct_drives_results_in_FGA,drive_tov_rate,drive_frequency,by_zone_statistics_restricted_area_fga,by_zone_statistics_in_the_paint_non_ra_fga,RestrictedArea_Frequency,RestrictedArea_Accuracy,Paint_Non_RA_Frequency,Paint_Non_RA_Accuracy,drive_fga_frequency,drive_fg_pct,traditional_ast,passing_potential_ast,passing_ast_points_created,passing_passes_made,passing_secondary_ast,passing_ft_ast,pass_frequency,secondary_ast_frequency,passing_ft_ast_frequency,drive_ast_frequency,drive_ast_tov_ratio,hustle_screen_ast_pts,hustle_screen_ast_pts_frequency,defense_dash_overall_d_fga,defense_dash_overall_d_fg_pct,hustle_contested_shots,hustle_deflections,hustle_charges_drawn,offensive_fouls_drawn,charge_drawn_frequency,deflection_frequency,opp_players_fg_pct_difference,off_fouls_drawn_frequency,contested_shot_frequency,crafted_cdpm,DEF_PTS_PER_100_ON_OFF,DEF_THREE_PT_FG_PCT_ON_OFF,traditional_pts,traditional_reb,traditional_tov,traditional_stl,traditional_blk,steal_frequency,block_frequency,traditional_fg_pct,traditional_ft_pct,O-LEBRON,D-LEBRON,LEBRON,WAR,assist_frequency,potential_assist_frequency,assists_tov_ratio,potential_assist_tov_ratio,pass_tov_ratio,crafted_passer_rating,crafted_box_creation,drib_tov_ratio,pts_created_from_assists,THREE_PT_FG_PCT_ON_OFF,PTS_PER_100_ON_OFF,drives_drive_ast,pct_passes_assists,shot_contest_2_4_fg3a_frequency
A.J. Lawson,TOR,2024-25,26.0,18.692307692307693,39.73076923076923,39.42307692307692,SG,0.0010067763794772,1.0,0.3,3.6,0.04,0.0010067763794772,0.0,0.35,0.4285714285714286,1.92,0.048325266214908,0.2604166666666667,1.58,0.0397676669893514,0.3924050632911392,0.327,3.9,0.0981606969990319,24.885148514851487,0.0075508228460793,0.6666666666666667,0.0906098741529525,0.3055555555555556,0.0958954501452081,0.3149606299212599,0.0010067763794772,1.0,0.0,0.0,0.939,0.4051282051282051,0.5342465753424658,0.1,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0010067763794772,0.0,0.1,2.9146067415730332,0.0136986301369863,0.0025169409486931,0.0,0.0,3.0,1.3,0.3846153846153846,0.4333333333333333,0.0666666666666666,0.0755082284607938,2.7,0.7,0.0679574056147144,0.5555555555555555,0.0176185866408518,0.4285714285714286,0.0327202323330106,0.412,1.2,2.7,3.3,21.2,0.3,0.2,0.5335914811229429,0.0075508228460793,0.0050338818973862,0.0025169409486931,0.5,0.75,0.0188770571151984,6.83,0.457,2.04,1.08,0.0,0.0,0.0,0.0273951219512195,0.011,0.0,0.0517463414634146,-0.1,-0.8840000000000002,0.008,9.1,3.3,0.6,0.5,0.2,0.0126829268292682,0.0050731707317073,0.421,0.683,0.305,-0.742,-0.438,0.615,0.0302032913843175,0.0679574056147144,2.0,4.500000000000001,35.333333333333336,13.0,1.4,69.23333333333333,3.3,0.004,1.0259999999999962,0.1,0.0566037735849056,0.008809293320425942
AJ Green,MIL,2024-25,73.0,22.726027397260275,46.87671232876713,46.61643835616438,SG,0.0029865575686732,0.5,1.2,3.7,0.07,0.0014932787843366,0.1428571428571428,1.26,0.3809523809523809,1.89,0.0403185271770894,0.4338624338624338,1.75,0.0373319696084161,0.4628571428571429,0.427,5.0,0.1066627703097603,25.891184573002754,0.0255990648743424,0.3333333333333333,0.0789304500292226,0.4594594594594594,0.0981297486849795,0.4239130434782609,0.0046931618936294,0.4545454545454546,0.0002133255406195,0.0,0.942,0.35,0.8620689655172414,0.6000000000000001,0.01,0.0,0.16,0.4375,0.34,0.4705882352941176,0.1,0.3,0.0002133255406195,0.0072530683810637,0.0021332554061952,0.5,12.73606557377049,0.0862068965517241,0.010666277030976,0.4,0.63997662185856,0.7,0.2,0.0,0.2857142857142857,0.0,0.0149327878433664,0.2,0.2,0.0042665108123904,0.5,0.0042665108123904,0.5,0.0042665108123904,0.455,1.5,2.9,4.1,22.2,0.2,0.1,0.473582700175336,0.0042665108123904,0.0021332554061952,0.0021332554061952,0.0,0.89,0.0189859731151373,10.4,0.459,3.29,0.97,0.07,0.0024394820791893,0.0015016162209814,0.0208081104907434,0.003,0.0038201586835145,0.0705759623861299,0.4,-6.9069999999999965,-0.0199999999999999,7.4,2.4,0.5,0.5,0.1,0.0107258301498677,0.0021451660299735,0.429,0.815,-0.49,0.189,-0.301,2.241,0.0319988310929281,0.061864406779661,3.0,5.8,44.4,46.5,1.4,53.326,4.1,0.013,-0.1290000000000049,0.1,0.0675675675675675,0.026879018118059612
AJ Green,MIL,2025-26,78.0,29.102564102564106,59.08974358974359,59.32051282051282,SG,0.0062616619657192,0.2432432432432432,1.8,5.3,0.06,0.0010154046430896,0.5,2.08,0.3990384615384615,3.05,0.0516164026903883,0.4065573770491803,1.91,0.0323237144716858,0.4554973821989529,0.419,7.1,0.1201562160989368,25.710469314079425,0.0304621392926882,0.4444444444444445,0.0896940768062486,0.4150943396226416,0.1074636580603167,0.4236220472440945,0.0054154914298112,0.53125,0.0010154046430896,0.5,0.927,0.2690140845070422,0.8987341772151898,0.4000000000000001,0.01,0.0,0.19,0.4736842105263157,0.26,0.3461538461538461,0.04,0.75,0.0001692341071816,0.0044000867867216,0.0006769364287264,0.3,10.3328125,0.0379746835443037,0.005077023215448,0.3333333333333333,0.2538511607723999,1.7,0.2,0.0,0.1176470588235294,0.1176470588235294,0.0287697982208722,0.2,0.2,0.003384682143632,0.5,0.003384682143632,0.5,0.003384682143632,0.412,1.9,3.5,5.3,34.4,0.4,0.2,0.5821653287047082,0.006769364287264,0.003384682143632,0.003384682143632,1.0,0.79,0.0133694944673464,11.92,0.485,3.83,1.42,0.04,0.1666666666666666,0.0006743030041063,0.0239377566457748,0.023,0.002809595850443,0.0645645126431813,-0.3,-1.183000000000007,0.02,10.4,2.7,1.0,0.5,0.1,0.0084287875513291,0.0016857575102658,0.424,0.855,-0.412,-0.66,-1.072,1.973,0.0321544803645042,0.0592319375135604,1.9,3.5,34.4,42.0,1.7,48.505,5.3,0.034,4.427000000000007,0.2,0.0552325581395348,0.03520069429377305
AJ Griffin,ATL,2022-23,72.0,19.458333333333332,40.5,40.541666666666664,SF,0.0069135802469135,0.4642857142857142,0.8,2.8,0.0,0.0,0.0,0.22,0.2727272727272727,1.53,0.0377777777777777,0.3464052287581699,1.85,0.045679012345679,0.4432432432432432,0.39,3.6,0.0888888888888888,25.06023166023166,0.019753086419753,0.5,0.0691358024691358,0.3571428571428571,0.0775308641975308,0.3789808917197452,0.0041975308641975,0.411764705882353,0.0002469135802469,1.0,0.891,0.513888888888889,0.4864864864864864,1.7,0.04,0.25,1.0,0.47,0.67,0.582089552238806,0.14,0.4285714285714285,0.0009876543209876,0.0165432098765432,0.0034567901234567,1.0,9.02883211678832,0.1351351351351351,0.0246913580246913,0.4,1.481481481481478,2.8,1.8,0.2222222222222222,0.6428571428571429,0.0714285714285714,0.0691358024691358,0.9,1.9,0.0222222222222222,0.6666666666666666,0.0469135802469135,0.5263157894736842,0.0444444444444444,0.5,1.0,1.7,2.6,12.4,0.1,0.1,0.3061728395061728,0.0024691358024691,0.0024691358024691,0.0024691358024691,0.5,0.42,0.0103703703703703,7.93,0.483,3.09,0.96,0.0,0.0009645061728395,0.0,0.0236793422404933,0.016,0.0017129153819801,0.0762178828365878,-0.6,-2.7949999999999875,-0.0189999999999999,8.9,2.1,0.6,0.6,0.2,0.0147995889003083,0.0049331963001027,0.465,0.894,0.059,-1.708,-1.649,0.706,0.0246913580246913,0.0419753086419753,1.6666666666666667,2.8333333333333335,20.666666666666668,44.6,1.9,53.10166666666667,2.6,0.0289999999999999,0.3520000000000038,0.1,0.0806451612903225,0.005432098765432099
AJ Johnson,"MIL,WAS",2024-25,29.0,22.03448275862069,45.27586206896552,45.3448275862069,SG,0.003092155369383,0.2142857142857142,1.3,1.8,0.03,0.0006626047220106,0.0,0.07,0.0,0.28,0.0061843107387661,0.25,2.72,0.0600761614623,0.2794117647058823,0.267,3.1,0.0684691546077684,27.54111111111111,0.0287128712871287,0.2307692307692307,0.0397562833206397,0.2777777777777778,0.0472658035034272,0.2570093457943925,0.0106016755521706,0.3541666666666667,0.0075095201827875,0.2058823529411765,0.667,0.8774193548387097,0.4246575342465754,0.0999999999999998,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.0006626047220106,0.0006626047220106,0.0006626047220106,0.2,3.826829268292683,0.0273972602739726,0.0044173648134044,0.0,0.0,5.0,2.6,0.2307692307692307,0.52,0.04,0.1104341203351104,2.7,1.3,0.0596344249809596,0.5925925925925926,0.0287128712871287,0.3076923076923077,0.0574257425742574,0.408,2.6,5.2,6.8,29.7,0.2,0.2,0.6559786747905558,0.0044173648134044,0.0044173648134044,0.0088347296268088,2.0,0.18,0.0039756283320639,10.0,0.45,3.59,1.14,0.0,0.0,0.0,0.0251406844106463,0.005,0.0,0.0791711026615969,-1.3,-0.7481173708920122,-0.0150892018779342,7.6,2.0,1.2,0.4,0.1,0.0088212927756654,0.0022053231939163,0.385,0.865,-1.894,-1.666,-3.56,-0.435,0.0574257425742574,0.1148514851485148,2.166666666666667,4.333333333333334,24.75,51.7,2.8,123.25083333333332,6.8,-0.0169311424100156,-1.1377261345852847,0.4,0.0875420875420875,0.001546077684691546
Aaron Gordon,ORL,2016-17,80.0,28.725,57.475,57.95,SF,0.0022618529795563,0.2307692307692307,0.8,2.4,0.05,0.0008699434536755,0.1999999999999999,0.28,0.2857142857142857,0.89,0.015484993475424,0.1797752808988764,2.13,0.0370595911265767,0.3333333333333333,0.288,3.3,0.0574162679425837,25.281273408239706,0.0139190952588081,0.25,0.0417572857764245,0.3333333333333333,0.0508046976946498,0.3013698630136986,0.0036537625054371,0.2380952380952381,0.0013919095258808,0.125,0.844,0.6454545454545455,0.3055555555555555,2.2,0.09,0.4444444444444445,0.94,0.3510638297872341,1.25,0.4,0.48,0.375,0.0015658982166159,0.0217485863418877,0.0083514571552849,2.4,7.074080267558529,0.2222222222222222,0.0417572857764245,0.375,2.3488473249238777,3.5,1.7,0.4117647058823529,0.4857142857142857,0.0571428571428571,0.0608960417572857,4.1,1.0,0.0713353632013919,0.6585365853658538,0.0173988690735102,0.4,0.0295780774249673,0.396,1.9,4.0,4.8,24.7,0.4,0.2,0.4297520661157024,0.006959547629404,0.003479773814702,0.005219660722053,1.4999999999999998,1.11,0.0193127446715963,8.99,0.437,6.18,1.41,0.06,0.0875,0.0010353753235547,0.0243313201035375,-0.019,0.0015099223468507,0.1066436583261432,-0.5,1.4050000000000011,-0.015,12.7,5.1,1.1,0.8,0.5,0.0138050043140638,0.0086281276962899,0.454,0.719,0.344,-0.608,-0.264,3.138,0.0330578512396694,0.0695954762940408,1.727272727272727,3.636363636363636,22.454545454545453,48.9,2.3,56.29090909090909,4.8,0.0369999999999999,10.223,0.3,0.0769230769230769,0.004871683340582862
Aaron Gordon,ORL,2017-18,58.0,32.91379310344828,67.98275862068965,67.82758620689656,PF,0.0042657874714684,0.3103448275862069,1.8,3.9,0.02,0.0002941922394116,0.0,0.38,0.0789473684210526,1.83,0.0269185899061628,0.2896174863387978,3.6,0.0529546030940908,0.3833333333333333,0.336,5.9,0.0867867106264266,25.42485380116959,0.0264773015470454,0.2222222222222222,0.057367486685265,0.3846153846153846,0.0676642150646715,0.3717391304347826,0.0104438244991123,0.1408450704225352,0.0032361146335277,0.2272727272727273,0.835,0.6101694915254237,0.3959731543624161,2.6000000000000005,0.1,0.5,1.24,0.2741935483870968,1.57,0.3949044585987261,0.41,0.2439024390243902,0.001470961197058,0.0230940907938118,0.0060309409079381,2.7,7.495793499043978,0.1812080536912751,0.0397159523205681,0.3333333333333333,1.9857976160284048,5.2,2.5,0.4,0.4807692307692307,0.0961538461538461,0.07648998224702,4.6,1.7,0.0676642150646715,0.6956521739130436,0.0250063403499873,0.2352941176470588,0.0367740299264519,0.379,2.3,4.6,5.6,40.2,0.2,0.1,0.5913264012173473,0.0029419223941161,0.001470961197058,0.0044128835911742,0.6,1.95,0.0286837433426325,12.02,0.435,6.47,1.41,0.07,0.0689655172413793,0.0010320284697508,0.0207880020335536,-0.03,0.0010167768174885,0.0953889171326893,0.5,-0.9939999999999998,-0.012,17.6,7.9,1.8,1.0,0.8,0.0147432638535841,0.0117946110828673,0.434,0.698,0.783,0.328,1.111,4.355,0.0338321075323357,0.0676642150646715,1.2777777777777777,2.5555555555555554,22.333333333333336,48.2,3.5,54.90833333333333,5.6,-0.007,3.405000000000001,0.3,0.0572139303482586,0.005589652548820695
Aaron Gordon,ORL,2018-19,78.0,33.756410256410255,68.3076923076923,68.06410256410257,PF,0.0020495495495495,0.2857142857142857,1.2,3.1,0.04,0.0005855855855855,0.0,0.3,0.3,1.39,0.0203490990990991,0.302158273381295,2.72,0.0398198198198198,0.3823529411764705,0.349,4.4,0.0644144144144144,25.534582132564843,0.0175675675675675,0.3333333333333333,0.0453828828828828,0.3548387096774194,0.054313063063063,0.3584905660377358,0.0061486486486486,0.3095238095238095,0.0026351351351351,0.2777777777777778,0.843,0.6181818181818182,0.3283582089552239,2.2,0.08,0.375,0.92,0.4239130434782608,1.5,0.3133333333333333,0.46,0.4565217391304347,0.0011711711711711,0.0219594594594594,0.0067342342342342,2.3,6.782260371959943,0.1716417910447761,0.0336711711711711,0.3043478260869565,1.5371621621621587,6.1,2.7,0.4074074074074074,0.4426229508196722,0.0983606557377049,0.0893018018018017,4.9,1.8,0.0717342342342342,0.6326530612244897,0.0263513513513513,0.3333333333333333,0.039527027027027,0.429,3.7,6.6,8.7,36.0,0.4,0.1,0.5270270270270271,0.0058558558558558,0.0014639639639639,0.0087837837837837,1.0,2.08,0.0304504504504504,11.87,0.455,6.53,1.29,0.01,0.0011505588428665,0.0001469203239781,0.0189527217931813,-0.005,0.001318515728009,0.0959389715577321,0.3,-0.9639999999999986,0.001,16.0,7.4,2.1,0.7,0.7,0.0102844226784705,0.0102844226784705,0.449,0.731,-0.592,0.823,0.231,4.457,0.0541666666666666,0.0966216216216216,1.761904761904762,3.1428571428571423,17.142857142857142,55.8,4.4,45.67619047619048,8.7,-0.014,1.9759999999999989,0.6,0.1027777777777777,0.004391891891891892
Aaron Gordon,ORL,2019-20,62.0,32.53225806451613,65.96774193548387,66.2741935483871,PF,0.0031833740831295,0.1428571428571428,1.1,2.6,0.03,0.0004547677261613,0.0,0.66,0.3484848484848485,1.21,0.0183422982885085,0.2644628099173554,1.9,0.02880195599022,0.3315789473684211,0.308,3.8,0.05760391198044,26.445147679324897,0.0166748166259168,0.2727272727272727,0.0394132029339853,0.3076923076923077,0.0483569682151589,0.3260188087774295,0.0039413202933985,0.1923076923076923,0.0022738386308068,0.3333333333333333,0.89,0.5,0.3064516129032257,2.4,0.03,0.6666666666666667,1.18,0.3389830508474576,1.55,0.2387096774193548,0.37,0.4054054054054054,0.0004547677261613,0.0234963325183374,0.0056088019559902,2.2,6.874905660377358,0.1774193548387097,0.0333496332518337,0.2272727272727272,1.1369193154034214,4.8,2.0,0.45,0.4166666666666667,0.0625,0.072762836185819,4.4,1.9,0.0666992665036674,0.6818181818181818,0.02880195599022,0.3684210526315789,0.0303178484107579,0.405,3.7,6.8,9.3,35.9,0.2,0.4,0.5442053789731051,0.0030317848410757,0.0060635696821515,0.0075794621026894,1.6666666666666667,1.92,0.0291051344743276,11.98,0.443,5.32,1.02,0.02,0.0013007284079084,0.0003017765879776,0.0153906059868581,-0.025,0.0012168410805548,0.0802725724020442,-0.5,4.680000000000007,0.0459999999999999,14.4,7.7,1.6,0.8,0.6,0.0120710635191044,0.0090532976393283,0.437,0.674,-0.267,0.728,0.461,3.719,0.0560880195599022,0.103080684596577,2.3125,4.25,22.437499999999996,59.2,3.8,63.26875,9.3,0.0069999999999999,4.2549999999999955,0.5,0.1030640668523677,0.010004889975550123
Aaron Gordon,"DEN,ORL",2020-21,50.0,27.68,56.06,56.12,PF,0.001427042454513,0.0,1.3,2.2,0.02,0.0003567606136282,0.0,0.38,0.2631578947368421,1.4,0.0249732429539778,0.3714285714285714,1.72,0.0306814127720299,0.3255813953488372,0.335,3.5,0.0624331073849447,25.95,0.0231894398858366,0.3076923076923077,0.0392436674991081,0.3636363636363636,0.050303246521584,0.3687943262411347,0.0067784516589368,0.2105263157894736,0.004281127363539,0.25,0.831,0.4914285714285714,0.35,1.9,0.02,0.0,0.76,0.3421052631578947,1.14,0.4035087719298246,0.28,0.3571428571428571,0.0003567606136282,0.0203353549768105,0.0049946485907955,1.5,6.7142414860681106,0.15,0.0267570460221191,0.3333333333333333,1.3378523011059549,4.6,1.8,0.4444444444444445,0.391304347826087,0.0869565217391304,0.0820549411344987,3.2,1.8,0.0570816981805208,0.65625,0.0321084552265429,0.4444444444444445,0.0321084552265429,0.433,3.2,5.7,8.1,32.9,0.6,0.3,0.5868712094184801,0.0107028184088476,0.0053514092044238,0.0071352122725651,1.0,1.22,0.0217623974313235,10.14,0.459,3.78,1.02,0.0,0.0012,0.0,0.018175338560228,-0.012,0.0010691375623663,0.0673556664290805,0.5,-1.2765953757225472,0.0018150289017341,12.4,5.7,1.9,0.7,0.7,0.0124732715609408,0.0124732715609408,0.463,0.651,-0.224,0.105,-0.118,2.028,0.0570816981805208,0.1016767748840528,1.6842105263157896,3.0000000000000004,17.31578947368421,53.2,4.3,71.94157894736843,8.1,0.0038901734104045,4.763757225433527,0.4,0.0972644376899696,0.0067784516589368534
