player_key,Player Name,Season,teams_played,position,badge_id,badge_name,badge_tier,badge_score_percentile,component_percentiles_json,demotion_reasons_json,rarity_percent,rarity_label
A.J. Lawson||2024-25||TOR||SG,A.J. Lawson,2024-25,TOR,SG,dunker,Dunker,gold,93.793,"{""dunks_per_75_poss"": 93.793}",[],8.275862068965518,8.28% of 2024-25 guards
A.J. Lawson||2024-25||TOR||SG,A.J. Lawson,2024-25,TOR,SG,free_throw_generator,Free Throw Generator,bronze,81.379,"{""fta_per_75"": 81.379, ""fta_rate"": 91.724, ""traditional_fta"": 63.793}",[],24.82758620689655,24.83% of 2024-25 guards
AJ Green||2024-25||MIL||SG,AJ Green,2024-25,MIL,SG,catch_and_shoot_converter,Catch and Shoot Converter,diamond,92.414,"{""catch_shoot_3P_accuracy_local_by_closest_defender_floor_to_100"": 100.0, ""catch_shoot_3P_frequency"": 84.828}",[],3.4482758620689653,3.45% of 2024-25 guards
AJ Green||2024-25||MIL||SG,AJ Green,2024-25,MIL,SG,three_pt_sniper,3PT Sniper,gold,91.31,"{""3P_Accuracy_local_by_closest_defender_floor_to_100"": 100.0, ""3fga_frequency"": 71.034}",[],6.896551724137931,6.90% of 2024-25 guards
AJ Green||2024-25||MIL||SG,AJ Green,2024-25,MIL,SG,contested_3pt_maker,Contested-3PT Maker,gold,90.69,"{""3P_Accuracy_local_by_closest_defender_floor_to_100"": 100.0, ""avg_closest_defender_3FGA_lower_is_better"": 88.276, ""pct_3fga_wide_open_lower_is_better"": 80.69, ""tight_very_tight_3fga_frequency"": 93.103}",[],6.206896551724138,6.21% of 2024-25 guards
AJ Green||2025-26||MIL||SG,AJ Green,2025-26,MIL,SG,contested_3pt_maker,Contested-3PT Maker,diamond,97.727,"{""3P_Accuracy_local_by_closest_defender_floor_to_100"": 100.0, ""avg_closest_defender_3FGA_lower_is_better"": 96.753, ""pct_3fga_wide_open_lower_is_better"": 94.805, ""tight_very_tight_3fga_frequency"": 98.701}",[],2.5974025974025974,2.60% of 2025-26 guards
AJ Green||2025-26||MIL||SG,AJ Green,2025-26,MIL,SG,three_pt_sniper,3PT Sniper,diamond,95.325,"{""3P_Accuracy_local_by_closest_defender_floor_to_100"": 100.0, ""3fga_frequency"": 84.416}",[],2.5974025974025974,2.60% of 2025-26 guards
AJ Green||2025-26||MIL||SG,AJ Green,2025-26,MIL,SG,catch_and_shoot_converter,Catch and Shoot Converter,diamond,91.126,"{""catch_shoot_3P_accuracy_local_by_closest_defender_floor_to_100"": 88.095, ""catch_shoot_3P_frequency"": 94.156}",[],2.5974025974025974,2.60% of 2025-26 guards
AJ Green||2025-26||MIL||SG,AJ Green,2025-26,MIL,SG,volume_3pt_shooter,Volume 3PT Shooter,silver,86.688,"{""3fga_frequency"": 84.416, ""traditional_fg3a"": 88.961}",[],16.233766233766232,16.23% of 2025-26 guards
"AJ Johnson||2024-25||MIL,WAS||SG",AJ Johnson,2024-25,"MIL,WAS",SG,dunker,Dunker,gold,95.862,"{""dunks_per_75_poss"": 95.862}",[],8.275862068965518,8.28% of 2024-25 guards
Aaron Holiday||2019-20||IND||PG,Aaron Holiday,2019-20,IND,PG,three_pt_sniper,3PT Sniper,bronze,70.487,"{""3P_Accuracy_local_by_closest_defender_floor_to_100"": 85.294, ""3fga_frequency"": 35.938}",[],27.34375,27.34% of 2019-20 guards
Aaron Holiday||2020-21||IND||PG,Aaron Holiday,2020-21,IND,PG,active_hands,Active Hands,bronze,79.054,"{""Blocks_per_75"": 53.378, ""Deflections_per_75"": 86.486, ""Steals_per_75"": 72.973, ""off_fouls_drawn_frequency"": 85.135}",[],20.945945945945947,20.95% of 2020-21 guards
Aaron Wiggins||2021-22||OKC||SG,Aaron Wiggins,2021-22,OKC,SG,dunker,Dunker,silver,88.276,"{""dunks_per_75_poss"": 88.276}",[],15.172413793103448,15.17% of 2021-22 guards
Aaron Wiggins||2022-23||OKC||SG,Aaron Wiggins,2022-23,OKC,SG,dunker,Dunker,bronze,82.707,"{""dunks_per_75_poss"": 82.707}",[],25.563909774436087,25.56% of 2022-23 guards
Aaron Wiggins||2023-24||OKC||SG,Aaron Wiggins,2023-24,OKC,SG,three_pt_sniper,3PT Sniper,bronze,73.504,"{""3P_Accuracy_local_by_closest_defender_floor_to_100"": 99.13, ""3fga_frequency"": 13.71}",[],33.064516129032256,33.06% of 2023-24 guards
Aaron Wiggins||2024-25||OKC||SG,Aaron Wiggins,2024-25,OKC,SG,three_pt_sniper,3PT Sniper,bronze,65.117,"{""3P_Accuracy_local_by_closest_defender_floor_to_100"": 69.084, ""3fga_frequency"": 55.862}",[],30.344827586206897,30.34% of 2024-25 guards
