player_name,normalized_player_name,nba_person_id,nba_full_name,headshot_url,local_headshot_path,match_status,match_method,notes
Aaron Gordon,aarongordon,203932,Aaron Gordon,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png,/headshots/203932.png,matched,exact_normalized,
Aaron Holiday,aaronholiday,1628988,Aaron Holiday,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png,/headshots/1628988.png,matched,exact_normalized,
Aaron Nesmith,aaronnesmith,1630174,Aaron Nesmith,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png,/headshots/1630174.png,matched,exact_normalized,
Aaron Wiggins,aaronwiggins,1630598,Aaron Wiggins,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png,/headshots/1630598.png,matched,exact_normalized,
Abdel Nader,abdelnader,1627846,Abdel Nader,https://cdn.nba.com/headshots/nba/latest/1040x760/1627846.png,/headshots/1627846.png,matched,exact_normalized,
Ace Bailey,acebailey,1642846,Ace Bailey,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png,/headshots/1642846.png,matched,exact_normalized,
Adem Bona,adembona,1641737,Adem Bona,https://cdn.nba.com/headshots/nba/latest/1040x760/1641737.png,/headshots/1641737.png,matched,exact_normalized,
Ajay Mitchell,ajaymitchell,1642349,Ajay Mitchell,https://cdn.nba.com/headshots/nba/latest/1040x760/1642349.png,/headshots/1642349.png,matched,exact_normalized,
AJ Green,ajgreen,1631260,AJ Green,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png,/headshots/1631260.png,matched,exact_normalized,
AJ Griffin,ajgriffin,1631100,AJ Griffin,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png,/headshots/1631100.png,matched,exact_normalized,
AJ Johnson,ajjohnson,1642358,AJ Johnson,https://cdn.nba.com/headshots/nba/latest/1040x760/1642358.png,/headshots/1642358.png,matched,manual_alias,
A.J. Lawson,ajlawson,1630639,A.J. Lawson,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png,/headshots/1630639.png,matched,manual_alias,
Alan Williams,alanwilliams,1626210,Alan Williams,https://cdn.nba.com/headshots/nba/latest/1040x760/1626210.png,/headshots/1626210.png,matched,exact_normalized,
Alec Burks,alecburks,202692,Alec Burks,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,/headshots/202692.png,matched,exact_normalized,
Aleksej Pokusevski,aleksejpokusevski,1630197,Aleksej Pokusevski,https://cdn.nba.com/headshots/nba/latest/1040x760/1630197.png,/headshots/1630197.png,matched,exact_normalized,
Alex Abrines,alexabrines,203518,Alex Abrines,https://cdn.nba.com/headshots/nba/latest/1040x760/203518.png,/headshots/203518.png,matched,exact_normalized,
Alex Caruso,alexcaruso,1627936,Alex Caruso,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png,/headshots/1627936.png,matched,exact_normalized,
Alex Len,alexlen,203458,Alex Len,https://cdn.nba.com/headshots/nba/latest/1040x760/203458.png,/headshots/203458.png,matched,exact_normalized,
Alex Sarr,alexsarr,1642259,Alex Sarr,https://cdn.nba.com/headshots/nba/latest/1040x760/1642259.png,/headshots/1642259.png,matched,exact_normalized,
Al-Farouq Aminu,alfarouqaminu,202329,Al-Farouq Aminu,https://cdn.nba.com/headshots/nba/latest/1040x760/202329.png,/headshots/202329.png,matched,exact_normalized,
Al Horford,alhorford,201143,Al Horford,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,/headshots/201143.png,matched,exact_normalized,
Allen Crabbe,allencrabbe,203459,Allen Crabbe,https://cdn.nba.com/headshots/nba/latest/1040x760/203459.png,/headshots/203459.png,matched,exact_normalized,
Allonzo Trier,allonzotrier,1629019,Allonzo Trier,https://cdn.nba.com/headshots/nba/latest/1040x760/1629019.png,/headshots/1629019.png,matched,exact_normalized,
Alperen Sengun,alperensengun,1630578,Alperen Sengun,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png,/headshots/1630578.png,matched,exact_normalized,
Amen Thompson,amenthompson,1641708,Amen Thompson,https://cdn.nba.com/headshots/nba/latest/1040x760/1641708.png,/headshots/1641708.png,matched,exact_normalized,
