player_name,season,team,position,source_player_season_id,related_player_name,related_season,related_team,related_position,related_player_season_id,rank,cluster,cluster_number,source_cluster_number,related_cluster,related_cluster_number,same_cluster,same_archetype,overall_distance,overall_similarity_score,similarity_distance_metric,similarity_metric_used,strongest_similarity_blocks,biggest_difference_blocks,pipeline,k,feature_signature,threept_distance,threept_similarity_score,midrange_distance,midrange_similarity_score,rimpressure_distance,rimpressure_similarity_score,playmaking_distance,playmaking_similarity_score,defense_distance,defense_similarity_score,playtypes_distance,playtypes_similarity_score
A.J. Lawson,2024-25,TOR,SG,A.J. Lawson||2024-25||TOR||SG,Isaac Okoro,2024-25,CLE,SG,Isaac Okoro||2024-25||CLE||SG,1,10,10,10,10,10,True,True,0.282294,89.9,cosine,cosine,"MidRange (99.9), Playtypes (95.3)","Defense (10.7), ThreePT (72.0)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.543412,72.0,0.007544,99.9,0.398397,73.8,0.505246,18.4,0.803509,10.7,0.182058,95.3
A.J. Lawson,2024-25,TOR,SG,A.J. Lawson||2024-25||TOR||SG,Rayan Rupert,2023-24,POR,SG,Rayan Rupert||2023-24||POR||SG,2,10,10,10,3,3,False,False,0.299647,88.7,cosine,cosine,"MidRange (96.7), Playtypes (82.9)","RimPressure (38.3), Defense (23.4)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.477401,77.6,0.051217,96.7,0.708004,38.3,0.220175,72.5,0.647104,23.4,0.36057,82.9
A.J. Lawson,2024-25,TOR,SG,A.J. Lawson||2024-25||TOR||SG,Gary Payton II,2025-26,GSW,SG,Gary Payton II||2025-26||GSW||SG,3,10,10,10,10,10,True,True,0.329652,86.5,cosine,cosine,"Playtypes (97.0), MidRange (94.7)","Defense (3.8), Playmaking (11.4)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.357886,86.7,0.065584,94.7,0.431751,70.0,0.572336,11.4,0.971031,3.8,0.144582,97.0
A.J. Lawson,2024-25,TOR,SG,A.J. Lawson||2024-25||TOR||SG,Bryce McGowens,2022-23,CHA,SG,Bryce McGowens||2022-23||CHA||SG,4,10,10,10,10,10,True,True,0.341547,85.6,cosine,cosine,"MidRange (94.3), RimPressure (82.3)","ThreePT (47.2), Defense (11.1)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.820865,47.2,0.067931,94.3,0.319556,82.3,0.230114,70.4,0.797325,11.1,0.557967,63.7
A.J. Lawson,2024-25,TOR,SG,A.J. Lawson||2024-25||TOR||SG,Christian Braun,2022-23,DEN,SG,Christian Braun||2022-23||DEN||SG,5,10,10,10,10,10,True,True,0.353944,84.7,cosine,cosine,"MidRange (97.2), RimPressure (88.0)","Defense (2.6), ThreePT (72.8)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.533643,72.8,0.047529,97.2,0.258308,88.0,0.383915,37.6,1.025668,2.6,0.39142,80.1
AJ Green,2024-25,MIL,SG,AJ Green||2024-25||MIL||SG,Kyle Korver,2017-18,CLE,SG,Kyle Korver||2017-18||CLE||SG,1,1,1,1,1,1,True,True,0.226614,91.8,cosine,cosine,"ThreePT (98.3), RimPressure (95.5)","Defense (40.5), Playmaking (29.9)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.076201,98.3,0.176975,94.6,0.084435,95.5,0.371937,29.9,0.649517,40.5,0.260605,86.8
AJ Green,2024-25,MIL,SG,AJ Green||2024-25||MIL||SG,Kyle Korver,2016-17,"ATL,CLE",SG,"Kyle Korver||2016-17||ATL,CLE||SG",2,1,1,1,1,1,True,True,0.318532,84.5,cosine,cosine,"MidRange (95.3), Playtypes (94.2)","Defense (27.1), Playmaking (16.2)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.146991,93.7,0.16402,95.3,0.394571,36.9,0.457151,16.2,0.780756,27.1,0.168697,94.2
AJ Green,2024-25,MIL,SG,AJ Green||2024-25||MIL||SG,Kyle Korver,2018-19,"CLE,UTA",SG,"Kyle Korver||2018-19||CLE,UTA||SG",3,1,1,1,4,4,False,False,0.318746,84.5,cosine,cosine,"MidRange (95.2), ThreePT (86.1)","Defense (13.3), Playmaking (16.5)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.22289,86.1,0.166131,95.2,0.240255,69.1,0.454734,16.5,0.970261,13.3,0.276256,85.3
AJ Green,2024-25,MIL,SG,AJ Green||2024-25||MIL||SG,Wayne Ellington,2020-21,DET,SG,Wayne Ellington||2020-21||DET||SG,4,1,1,1,1,1,True,True,0.324324,84.0,cosine,cosine,"ThreePT (96.3), RimPressure (88.1)","Defense (19.3), Playmaking (7.4)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.112547,96.3,0.311279,84.1,0.140588,88.1,0.546826,7.4,0.876891,19.3,0.363957,75.9
AJ Green,2024-25,MIL,SG,AJ Green||2024-25||MIL||SG,Isaiah Joe,2023-24,OKC,SG,Isaiah Joe||2023-24||OKC||SG,5,1,1,1,1,1,True,True,0.326912,83.7,cosine,cosine,"Playtypes (94.6), MidRange (92.8)","Defense (34.1), RimPressure (38.2)",freq_raw_6blocks_equal_cosine,12,d5fe32a824ba417f71a000fd755d7b076c2258a6113cfffd5b3129d1562e27e9,0.214039,87.1,0.20508,92.8,0.387632,38.2,0.292769,47.4,0.709162,34.1,0.163847,94.6
